Mebol, 101 FW, 101 TC, 101 TW, 102 FC, 102 FW, 102 TC, 102 TW, 103 FC, 103 FW, 103 TC, 103 TW, 104 FC, 104 FW, 104 TC, 104 TW, 105 FC, 105 FW, 105 TC, 105 TW, 110 FC, 110 FW, 110 TC, 110 TW, 111 FC, 111 FW, 111 TC, 111 TW, 112 FC, 112 FW, 112 TC, 112 TW, 113 FC, 113 FW, 113 TC, 113 TW, 114 FC, 114 FW, 114 TC, 114 TW, 124 FC, 124 FW, 124 NB FC, 124 TC, 124 TW, 125 FC, 125 FW, 125 TC, 125 TW, 126 FC, 126 FW, 126 TC, 126 TW, 127 FC, 127 FW, 127 TC, 127 TW, 128 FC, 128 FW, 128 TC, 128 TW, 201 FC, 201 FW, 201 TC, 201 TW, 202 FC, 202 FW, 202 TC, 202 TW, 203 FC, 203 FW, 203 TC, 203 TW, 204 FC, 204 FW, 204 TC, 204 TW, 205 FC, 205 FW, 205 TC, 205 TW, 210 FC, 210 FW, 210 TC, 210 TW, 211 FC, 211 FW, 211 TC, 211 TW, 212 FC, 212 FW, 212 TC, 212 TW, 213 FC, 213 FW, 213 TC, 213 TW, 214 FC, 214 FW, 214 NB FW, 214 TC, 214 TW, 215 FC, 215 FW, 215 TC, 215 TW, 216 FC, 216 FW, 216 TC, 216 TW, 217 FC, 217 FW, 217 TC, 217 TW, 218 FC, 218 FW, 218 TC, 218 TW, 219 FC, 219 FW, 219 TC, 219 TW, 226 FC, 226 FW, 226 TC, 226 TW, 227 FC, 227 FW, 227 TC, 227 TW, 228 FC, 228 FW, 228 TC, 228 TW, 229 FC, 229 FW, 229 TC, 229 TW, 230 FC, 230 FW, 230 TC, 230 TW,101 FC
CAR 12:0 [M+H]+_5570,NAN,NAN,NAN,NAN,NAN,NAN,1349,NAN,1127,NAN,1150,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1214,NAN,1641,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1531,NAN,NAN,1730,NAN,NAN,NAN,NAN,NAN,1046,NAN,NAN,NAN,1248,NAN,1071,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1290,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1277,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1421,NAN,1862,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
CAR 14:0 [M+H]+_1174,1601,1173,2486,2577,2445,1484,4508,2471,3930,4103,4239,NAN,NAN,NAN,1274,1112,1962,NAN,2354,NAN,2085,1859,NAN,NAN,NAN,NAN,1064,3025,5075,1914,4937,1151,2518,1367,2632,1223,2115,NAN,1893,1607,2857,1322,1229,3249,2410,2516,1349,3275,2349,2752,2031,2939,1943,2790,1733,2965,1774,2834,NAN,2540,NAN,2986,NAN,1919,1087,1287,NAN,1691,1755,2294,NAN,1436,1430,2570,1096,3613,1028,1522,NAN,1591,1502,1255,NAN,1176,NAN,2585,NAN,2000,NAN,1494,NAN,1357,NAN,2215,NAN,2464,1419,2748,1451,1110,2613,NAN,1021,NAN,NAN,1116,1673,NAN,1899,2426,2929,1663,3732,1311,2751,NAN,3111,1535,2054,NAN,1997,NAN,1092,NAN,1575,1076,1998,NAN,1734,NAN,1792,NAN,1524,NAN,1800,NAN,1397,1067,1968,NAN,1574,1815
CAR 14:1 [M+H]+_6114,NAN,NAN,NAN,NAN,NAN,NAN,1216,NAN,NAN,NAN,1087,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1205,1237,NAN,1980,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1073,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1671,NAN,NAN,1001,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1066,1160,NAN,1478,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1054,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
CAR 16:0 [M+H]+_1209,1350,1343,2183,2224,2019,2000,3247,4358,4041,5155,4807,NAN,1015,NAN,1051,1864,1794,1757,2236,NAN,3048,1526,1438,NAN,NAN,NAN,NAN,3356,6494,2380,5600,1982,1409,1567,2045,1180,1021,NAN,1026,1130,1587,2247,1007,1674,1527,1447,1134,1796,2204,2838,2064,2964,3021,2001,2954,2178,2433,2107,1802,2074,1546,3266,1462,2006,NAN,1231,NAN,1056,2923,1462,NAN,NAN,NAN,1137,NAN,1369,1534,1477,1357,1770,3202,2260,1656,1836,NAN,2190,NAN,1751,1163,1421,NAN,1134,1050,1557,NAN,1538,1239,1927,2096,1679,2063,1522,NAN,1035,1156,1022,1010,NAN,1260,2300,1738,1988,2499,2085,2141,1172,2810,NAN,1035,NAN,NAN,NAN,NAN,NAN,NAN,1441,2413,NAN,1935,NAN,1644,1159,1697,NAN,1525,NAN,1037,1319,1662,NAN,1454,1798
CAR 16:1 [M+H]+_4228,NAN,NAN,NAN,NAN,NAN,NAN,1255,1431,1787,2182,2135,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1021,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2114,4211,1264,3649,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1101,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1092,NAN,1342,NAN,1054,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2020,NAN,NAN,1295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1111,1036,NAN,1421,NAN,NAN,NAN,1083,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1102,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
CAR 18:0 [M+H]+_4570,NAN,NAN,1449,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1679,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1616,1105,NAN,1194,NAN,NAN,NAN,1411,1494,1470,1176,3311,1684,NAN,1762,1621,1201,1407,1268,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1307,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1479,NAN,NAN,NAN,NAN,NAN,1132,NAN,NAN,NAN,NAN,NAN
CAR 18:0 [M+H]+_1549,1286,1418,NAN,2397,2005,2537,2686,2760,2003,2637,2145,1017,NAN,NAN,NAN,2172,1339,1432,NAN,1453,1040,1672,NAN,NAN,NAN,NAN,NAN,2014,1828,1895,2513,1986,1127,1416,1793,NAN,NAN,NAN,NAN,1161,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1628,2886,NAN,3004,1818,NAN,NAN,NAN,1375,1775,3156,1683,1849,NAN,NAN,NAN,NAN,4280,1345,1015,1488,NAN,NAN,NAN,1119,1856,1437,1762,1772,1839,1458,1674,1687,NAN,1218,NAN,1161,NAN,1154,NAN,1037,1822,1644,1159,1870,1284,1867,NAN,3249,2206,2587,NAN,1697,1366,NAN,1039,1055,1210,2427,1399,NAN,1577,2667,1320,NAN,1568,NAN,NAN,NAN,1022,1274,NAN,1309,NAN,NAN,3812,1009,NAN,NAN,NAN,1516,1349,1174,NAN,NAN,NAN,1352,NAN,1086,1310,1708
CAR 18:0 [M+H]+_5596,1483,2321,1655,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1116,NAN,NAN,NAN,NAN,1139,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1247,NAN,1659,NAN,1423,1223,NAN,1232,1491,NAN,NAN,1296,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1105,NAN,NAN,NAN,1125,NAN,1103,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1116,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1077,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1132,NAN,NAN,1026,NAN,NAN,2191
CAR 18:0 [M+H]+_1077,NAN,NAN,NAN,3297,1878,3790,3285,4164,2324,4355,3038,1246,1241,NAN,NAN,2982,1867,2007,2342,NAN,NAN,1311,NAN,NAN,NAN,NAN,NAN,2291,1665,2024,2381,3179,1493,2052,2261,1352,NAN,1311,1294,1935,NAN,1803,NAN,NAN,NAN,1026,NAN,NAN,1917,NAN,NAN,1305,3610,NAN,3454,1970,1873,1119,1635,1399,2430,2522,2046,2048,NAN,NAN,NAN,NAN,5365,1506,1331,1140,1314,NAN,1584,1260,2837,1645,2638,1922,2517,1715,2233,1996,1420,1731,NAN,1735,1714,1430,1453,1370,2607,1984,1669,2394,2072,2342,NAN,4937,3206,3428,1656,2262,2382,2010,1196,1645,1536,4130,2086,3954,2719,4650,1753,3959,1654,1756,1330,1457,1639,1906,NAN,2013,1273,3206,4102,1509,2357,1434,1264,1504,1387,1543,1127,NAN,1259,2165,NAN,1729,1883,NAN
CAR 18:1 [M+H]+_5163,1099,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1130,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1286,NAN,1109,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1070,NAN,NAN,1019,1290,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1208,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1029,NAN,1286,NAN,NAN,2449,NAN,NAN,NAN,1027,NAN,NAN,1000,NAN,NAN,NAN,NAN,NAN,NAN,1275,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1077,NAN,NAN,NAN,1157
CAR 18:1 [M+H]+_1457,NAN,NAN,1520,2457,1631,2111,3131,3024,4142,3917,5030,NAN,NAN,NAN,NAN,1326,1609,1246,2113,NAN,1399,NAN,1169,NAN,NAN,NAN,NAN,3940,9215,2556,8144,1986,1557,1568,2174,NAN,1090,NAN,NAN,NAN,1782,1425,NAN,1566,NAN,1324,NAN,1514,1624,2664,1256,3096,2413,1663,2528,1713,1942,2753,1310,2670,NAN,2533,NAN,1761,NAN,1379,NAN,NAN,2400,1384,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1829,2454,1966,1445,1642,NAN,2285,NAN,1970,NAN,NAN,NAN,NAN,NAN,1574,NAN,1562,1357,3188,2748,1427,2539,1334,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2855,1862,NAN,2781,1564,1730,NAN,2175,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2337,NAN,1630,NAN,1652,NAN,1543,NAN,1138,NAN,NAN,NAN,1447,NAN,1344,NAN
CAR 20:0 [M+H]+_927,1782,3431,NAN,3525,1546,4206,2198,4434,2437,4542,3020,1692,1093,1117,1196,4605,1623,3142,2649,2316,NAN,1044,NAN,1205,NAN,1240,NAN,3772,1226,2885,2939,3663,1016,2497,3255,1893,1118,1563,1499,2314,NAN,2090,2037,NAN,2465,NAN,1936,1505,2702,1508,NAN,1530,5126,1885,5807,2408,2137,1310,1892,1675,2946,2136,2484,1952,NAN,NAN,NAN,NAN,6662,1343,2359,1376,1578,NAN,1733,1102,3252,1719,3498,1994,3165,2526,3034,2306,1841,1858,1632,1661,1762,NAN,1446,1358,2928,1838,1959,1955,2961,2789,NAN,5491,3390,4058,1939,3089,2402,2417,1089,1675,1345,4507,2226,4397,2779,4417,1567,4968,1199,1821,NAN,1584,1255,1191,NAN,NAN,NAN,3651,5050,2261,3707,2008,1484,1855,1437,2376,1300,1687,2317,2643,1526,2301,2156,2669
Cer 30:1 [M+H-H2O]+_2714,NAN,NAN,NAN,NAN,NAN,1491,NAN,1519,NAN,1245,NAN,1700,NAN,1667,NAN,1539,NAN,1739,NAN,3138,NAN,2456,NAN,NAN,NAN,NAN,NAN,1462,NAN,1922,NAN,NAN,NAN,NAN,NAN,1185,NAN,1023,NAN,1326,NAN,NAN,1118,NAN,1090,NAN,1140,NAN,NAN,NAN,NAN,NAN,1349,NAN,1139,NAN,1320,NAN,1244,NAN,1564,1051,1032,NAN,NAN,NAN,NAN,NAN,1563,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1162,NAN,1573,NAN,NAN,NAN,NAN,NAN,2984,NAN,4439,1283,NAN,NAN,NAN,NAN,2685,1020,2363,1090,1480,NAN,NAN,2829,1697,1290,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2486,NAN,3394,NAN,1248,NAN,NAN,NAN,NAN,NAN,1196,NAN,1010
Cer 32:1 [M+H-H2O]+_2080,NAN,NAN,NAN,NAN,NAN,1106,NAN,1234,NAN,1214,1328,1832,1256,2457,1154,NAN,NAN,1367,NAN,12733,2262,6021,1549,NAN,NAN,NAN,NAN,1328,NAN,1380,1461,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1257,NAN,1190,NAN,NAN,NAN,NAN,NAN,1586,NAN,1496,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1309,NAN,1843,1278,NAN,1020,1858,1312,3589,1950,NAN,NAN,NAN,NAN,1926,1225,2186,1570,1174,1105,NAN,2099,2239,1007,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4095,1062,6213,1288,NAN,NAN,NAN,NAN,NAN,NAN,1142,NAN,NAN
Cer 32:2 [M+H-H2O]+_2826,NAN,NAN,NAN,NAN,NAN,1378,NAN,1627,NAN,NAN,NAN,2039,NAN,2622,NAN,1655,NAN,2193,NAN,3912,NAN,3375,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1818,NAN,1342,NAN,NAN,NAN,NAN,NAN,NAN,1419,NAN,1775,NAN,NAN,NAN,NAN,NAN,1303,NAN,1051,NAN,1120,NAN,1406,NAN,1315,NAN,NAN,NAN,NAN,NAN,1106,NAN,NAN,NAN,NAN,NAN,1244,NAN,1101,NAN,NAN,NAN,1373,NAN,NAN,NAN,NAN,NAN,2668,NAN,4210,1067,1553,NAN,1205,NAN,2533,NAN,2536,NAN,NAN,NAN,NAN,1951,NAN,NAN,NAN,NAN,NAN,1372,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1031,NAN,1152,NAN,NAN,NAN,1089,NAN,1462,NAN,1622,NAN,NAN,NAN,NAN,NAN,2965,NAN,4042,NAN,1412,NAN,1426,NAN,NAN,NAN,1069,NAN,NAN
Cer 34:1 [M+H-H2O]+_814,1279,1841,1477,2110,1430,2832,1641,2844,1128,2310,2393,3651,2784,5197,2395,2117,1548,2576,1987,34033,6111,13782,3895,1616,1232,1506,1147,2632,2107,2825,2679,1576,1155,1531,1484,2468,1323,2895,1639,1254,1065,1515,1301,1183,2221,1561,2560,1849,1996,1533,2114,1866,3285,1415,2848,1780,2129,1156,2521,1529,3381,2366,2321,2111,1486,1452,2149,1616,3184,NAN,2258,1345,1794,NAN,1774,1130,1978,1677,3193,2110,3386,2399,2385,2102,4101,2282,7501,3621,2138,1055,1778,1862,3921,2401,3816,2472,1972,1877,1290,3363,3023,2621,1315,2146,1991,1773,1182,1518,1310,1620,1286,1762,1527,1672,1154,2008,1184,1163,1033,1556,1681,2035,1272,2034,1259,1517,1377,2457,2194,7311,2147,13081,2725,2121,1323,2126,1961,2078,1549,2459,1938,1736
Cer 34:1 [M+H-H2O]+_2373,NAN,1566,NAN,1137,NAN,1615,NAN,NAN,NAN,1247,NAN,1058,NAN,NAN,NAN,1060,NAN,NAN,NAN,1952,NAN,1311,NAN,1200,NAN,1312,NAN,1003,NAN,1213,NAN,1143,NAN,1187,NAN,1134,NAN,1388,NAN,1117,NAN,NAN,NAN,NAN,1269,1040,1373,NAN,1545,NAN,1882,NAN,1196,NAN,1151,NAN,NAN,NAN,NAN,NAN,1631,1211,1131,1071,1114,NAN,1367,1055,1043,NAN,1230,NAN,1212,NAN,1032,NAN,1167,NAN,2000,NAN,1153,NAN,1341,NAN,1029,NAN,1499,NAN,1152,1029,1430,1100,1479,1026,1655,1146,1130,NAN,NAN,NAN,NAN,1228,1044,1469,NAN,1190,1051,1431,NAN,1129,NAN,1224,NAN,1037,NAN,1225,NAN,NAN,NAN,1323,NAN,1081,NAN,1814,NAN,1123,NAN,1542,NAN,1548,NAN,1485,NAN,1021,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1223
Cer 34:2 [M+H-H2O]+_4435,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1036,1508,1872,1065,NAN,NAN,NAN,NAN,4828,2045,3261,1009,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1376,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1025,1132,NAN,1233,NAN,NAN,1138,1047,NAN,NAN,NAN,NAN,NAN,NAN,1075,1141,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1004,1753,NAN,2202,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 34:2 [M+H-H2O]+_7155,NAN,NAN,NAN,NAN,NAN,1038,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1553,NAN,1031,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1005,NAN,NAN,NAN,1175,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1098,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1034,NAN,NAN,NAN,1172,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1026,NAN,1112,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 35:1 [M+H-H2O]+_2190,1003,NAN,NAN,NAN,NAN,1151,NAN,1614,NAN,1163,1335,1665,1138,1696,1288,NAN,NAN,NAN,NAN,13704,3154,5848,1982,NAN,NAN,NAN,NAN,1043,1064,1163,1223,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1185,NAN,1303,NAN,1003,NAN,1066,NAN,1514,NAN,1071,NAN,1093,NAN,1049,NAN,1153,NAN,NAN,NAN,NAN,1097,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1090,1063,1393,1072,NAN,NAN,1907,1040,3135,1500,NAN,NAN,NAN,NAN,1673,NAN,1361,NAN,1049,NAN,NAN,1284,1388,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1081,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1047,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3126,1148,5150,1623,1247,NAN,1055,NAN,NAN,NAN,NAN,NAN,NAN
Cer 36:2 [M+H-H2O]+_3380,NAN,1257,NAN,NAN,NAN,1060,NAN,1084,NAN,1242,NAN,1083,NAN,1041,NAN,1016,NAN,NAN,NAN,1063,NAN,NAN,NAN,NAN,NAN,1457,NAN,NAN,NAN,NAN,NAN,1101,NAN,1167,NAN,1135,NAN,1172,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1341,NAN,1208,NAN,1391,NAN,NAN,NAN,1109,NAN,NAN,NAN,1030,NAN,1237,NAN,NAN,NAN,NAN,NAN,1211,NAN,NAN,NAN,NAN,NAN,1049,NAN,1078,NAN,NAN,NAN,1303,NAN,NAN,NAN,1550,NAN,1000,NAN,1241,NAN,NAN,NAN,1238,NAN,1107,NAN,1517,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1346,NAN,1156,NAN,1531,NAN,1109,NAN,1207,NAN,1172,NAN,1300,NAN,1007,NAN,1700,1022,1120,NAN,1505,NAN,NAN,NAN,1775,NAN,1111,NAN,1248,NAN,1057,NAN,1352,NAN,NAN,NAN,NAN,NAN,NAN
Cer 36:2 [M+H-H2O]+_2268,2874,NAN,1027,NAN,2609,NAN,1357,NAN,2455,NAN,1058,NAN,1869,NAN,NAN,NAN,1531,NAN,NAN,NAN,1678,NAN,2772,NAN,2838,NAN,1013,NAN,NAN,NAN,NAN,NAN,2219,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1532,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1118,NAN,1376,NAN,1599,NAN,NAN,NAN,NAN,NAN,1090,NAN,2373,NAN,1417,NAN,4252,NAN,NAN,NAN,2137,NAN,1634,NAN,2146,NAN,1141,NAN,2572,NAN,2381,NAN,2965,NAN,1233,NAN,NAN,NAN,NAN,NAN,2020,NAN,1093,NAN,1031,NAN,1294,NAN,1934,1811,NAN,NAN,NAN,1515,NAN,NAN,NAN,3083,NAN,2742,NAN,1934,NAN,1813,NAN,1288,NAN,1971,NAN,2362,NAN,NAN,NAN,2925,NAN,2327,NAN,1549,NAN,NAN,NAN,1731,NAN,2056,NAN,1430,NAN,NAN,NAN,1211,NAN,1188,NAN
Cer 36:2 [M+H-H2O]+_212,3225,12441,7096,13809,3748,24031,9055,20672,2774,16973,11405,30236,7537,43109,18440,18660,3482,23779,8012,110302,17253,73601,8975,15596,3615,14643,6575,3398,1762,4149,2994,10726,2978,9039,9065,21083,4600,18966,7304,7597,2094,15130,9384,2767,17954,7287,22535,9856,10099,3028,13193,4129,17632,3103,19182,7858,16017,4191,20575,3809,23743,7022,18687,9421,9796,3413,18285,13298,15147,2797,16105,4111,14729,2384,15800,5413,12219,4389,18178,6191,16551,4436,18939,10908,23320,7824,35361,12990,21087,3051,14656,7151,27722,9871,32268,9630,6543,2884,4925,11856,9169,9213,4259,13078,11583,16952,3787,14380,4956,10008,2583,11624,4445,10864,5182,12729,3948,8449,2453,16327,15294,16231,2486,21637,3512,10816,2803,23052,13019,52598,5754,71579,6749,19309,4804,23165,17154,13162,5010,16984,5839,9562
Cer 38:2 [M+H-H2O]+_938,NAN,2492,1088,2512,NAN,4360,1583,3843,NAN,3514,1578,4674,NAN,5635,2533,3619,NAN,4311,1030,14253,1082,8474,NAN,3002,NAN,3529,1246,NAN,NAN,NAN,NAN,2213,NAN,1977,1626,3342,NAN,3585,1080,1677,NAN,2503,2618,NAN,3075,1112,4681,1575,1550,NAN,2770,NAN,3093,NAN,4271,1487,3022,NAN,4969,NAN,3830,NAN,2853,1076,1643,NAN,3707,1946,3363,NAN,3979,NAN,2705,NAN,3340,1108,1951,NAN,3505,NAN,1866,NAN,3870,1316,4044,1143,6446,1748,3422,NAN,3350,1191,5758,1637,6762,1695,1574,NAN,NAN,2770,1553,1898,NAN,3366,2225,2824,NAN,3136,NAN,1986,NAN,2734,NAN,1940,NAN,2595,NAN,1821,NAN,3595,2683,3322,NAN,5088,NAN,1770,NAN,4635,2033,7840,NAN,10837,NAN,3569,NAN,4717,2942,2657,NAN,3188,1003,2005
Cer 40:1 [M+H-H2O]+_520,7323,2794,4158,2557,5544,2853,4971,1958,4367,3400,3177,2923,4348,3262,4884,2962,4308,2021,4046,16964,8801,9685,8536,2982,3842,2626,3233,2576,4226,3697,4173,2375,4357,2412,3334,2490,2537,3466,3616,2445,6819,1743,1657,4720,3219,6873,3011,5499,2368,4045,2052,3424,2683,3121,2858,2893,1808,3077,2491,4902,3690,5379,2863,4187,3727,6889,3834,5000,6093,5730,4049,5522,2492,3499,2955,3438,3212,8619,3661,8839,6141,9134,4025,6459,3390,5511,5071,5822,2252,5727,2847,4482,4905,5579,4483,6536,4791,10925,2782,4646,7497,3046,6453,3894,4790,3374,8267,2712,7563,2505,6927,2617,5980,3786,6280,3182,7320,3770,10452,3150,5297,3284,7583,4509,6910,2815,5050,3128,3318,6059,5352,6386,5801,2160,5494,2598,3540,2367,3953,2566,3461,2993
